Агрегат: 04030002
Точка: П4®
Направление измерений: Произвольное
Замер: ЕФС-У
Дата и время: 30.05.2018 13:49:21
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 32768
Единицы: м/с?
Представление величин: ПИК
Усреднения: Линейные
Количество усреднений: 1
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 12800.000000
Период (мс): 1000.000000

мсек	Канал А, м/с?
8.667257	6.192119
8.697775	9.981159
8.728294	10.640608
8.758812	6.572140
8.789331	0.290605
8.819849	-5.521492
8.850368	-8.673437
8.880886	-10.171169
8.911405	-10.361180
8.941923	-7.511018
8.972442	-3.531967
9.002960	-1.073003
9.033479	2.000703
9.063997	3.621383
9.094516	2.682506
9.125034	-0.536501
9.155553	-4.157885
9.186071	-6.102702
9.216590	-6.214473
9.247108	-4.448490
9.277627	-0.760043
9.308145	3.397841
9.338664	7.108642
9.369182	9.165230
9.399701	8.684614
9.430219	6.750974
9.460738	2.883694
9.491256	-1.698921
9.521775	-4.672032
9.552293	-5.990931
9.582812	-4.537907
9.613330	-1.587150
9.643849	0.648272
9.674368	3.375487
9.704886	4.470844
9.735405	2.682506
9.765923	-0.134125
9.796442	-3.487258
9.826960	-7.667497
9.857479	-9.902919
9.887997	-9.746440
9.918516	-6.616849
9.949034	-3.252539
9.979553	0.558855
10.010071	4.426136
10.040590	6.326244
10.071108	5.555024
10.101627	3.006643
10.132145	-0.692981
10.162664	-3.688446
10.193182	-5.622086
10.223701	-4.470844
10.254219	-1.676566
10.284738	1.184774
10.315256	3.956697
10.345775	5.834451
10.376293	4.314364
10.406812	2.503673
10.437330	2.146005
10.467849	2.112474
10.498367	0.536501
10.528886	-0.402376
10.559404	0.402376
10.589923	1.967171
10.620441	3.353133
10.650960	4.895574
10.681478	7.198059
10.711997	9.075813
10.742515	8.315769
10.773034	6.326244
10.803552	3.286070
10.834071	-0.681804
10.864589	-4.716740
10.895108	-7.086287
10.925626	-7.488663
10.956145	-5.163825
10.986663	-1.341253
11.017182	3.129591
11.047700	6.706266
11.078219	6.438015
11.108737	2.503673
11.139256	-2.827809
11.169774	-6.616849
11.200293	-9.165230
11.230811	-10.238233
11.261330	-8.584021
11.291849	-3.464904
11.322367	2.190713
11.352886	6.438015
11.383404	8.852271
11.413923	8.047519
11.444441	5.040876
11.474960	1.788337
11.505478	-0.704158
11.535997	-2.011880
11.566515	-2.660152
11.597034	-1.833046
11.627552	-1.609504
11.658071	-1.430670
11.688589	-1.005940
11.719108	-0.603564
11.749626	-0.961231
11.780145	-1.162419
11.810663	-0.357668
11.841182	0.894169
11.871700	0.558855
11.902219	1.900109
11.932737	2.917226
11.963256	0.916523
11.993774	-1.117711
12.024293	-1.341253
12.054811	-0.894169
12.085330	-0.044708
12.115848	1.810692
12.146367	5.655617
12.176885	8.226353
12.207404	7.823977
12.237922	5.275596
12.268441	1.888932
12.298959	-3.889634
12.329478	-8.561666
12.359996	-7.242767
12.390515	-2.537204
12.421033	1.833046
12.451552	3.990228
12.482070	2.146005
12.512589	-2.235422
12.543107	-5.789743
12.573626	-6.415661
12.604144	-4.549084
12.634663	-2.011880
12.665181	2.190713
12.695700	9.165230
12.726218	14.150221
12.756737	13.859616
12.787255	10.730025
12.817774	5.186179
12.848292	-1.967171
12.878811	-7.309830
12.909330	-9.120522
12.939848	-10.037045
12.970367	-9.008750
13.000885	-5.476784
13.031404	0.648272
13.061922	4.448490
13.092441	3.006643
13.122959	0.089417
13.153478	-2.403079
13.183996	-6.918631
13.214515	-10.797088
13.245033	-10.551191
13.275552	-8.941688
13.306070	-7.779268
13.336589	-4.157885
13.367107	0.648272
13.397626	6.259181
13.428144	11.378298
13.458663	15.647953
13.489181	19.012264
13.519700	21.281216
13.550218	19.962318
13.580737	12.831322
13.611255	-0.469439
13.641774	-14.686722
13.672292	-23.695473
13.702811	-21.437696
13.733329	-6.773328
13.763848	12.898384
13.794366	29.865236
13.824885	38.181007
13.855403	33.643101
13.885922	17.391582
13.916440	-6.728620
13.946959	-26.757999
13.977477	-32.815994
14.007996	-25.114965
14.038514	-10.819442
14.069033	4.113176
14.099551	15.558537
14.130070	22.711887
14.160588	25.595581
14.191107	20.677652
14.221625	6.572140
14.252144	-12.205403
14.282662	-25.729706
14.313181	-28.255733
14.343699	-22.745419
14.374218	-15.737370
14.404736	-7.063933
14.435255	1.721275
14.465773	8.628729
14.496292	11.825382
14.526811	8.584021
14.557329	0.268251
14.587848	-8.304592
14.618366	-13.479594
14.648885	-13.770199
14.679403	-10.618254
14.709922	-4.560261
14.740440	1.341253
14.770959	5.409721
14.801477	5.722680
14.831996	4.359073
14.862514	3.174299
14.893033	2.771923
14.923551	2.973111
14.954070	3.509612
14.984588	3.599029
15.015107	3.766686
15.045625	3.274893
15.076144	2.771923
15.106662	2.011880
15.137181	1.520087
15.167699	3.084882
15.198218	6.851568
15.228736	9.299356
15.259255	9.388772
15.289773	6.438015
15.320292	2.146005
15.350810	-2.950757
15.381329	-7.689851
15.411847	-8.941688
15.442366	-4.660855
15.472884	2.235422
15.503403	8.628729
15.533921	11.847736
15.564440	9.243469
15.594958	2.995465
15.625477	-2.637798
15.655995	-6.773328
15.686514	-8.584021
15.717032	-8.047519
15.747551	-5.275596
15.778069	-0.402376
15.808588	4.873220
15.839106	8.539311
15.869625	8.829917
15.900143	5.677972
15.930662	0.469439
15.961180	-4.180239
15.991699	-7.063933
16.022217	-8.181644
16.052736	-7.913393
16.083254	-5.543846
16.113773	-2.995465
16.144292	0.044708
16.174810	1.967171
16.205329	1.877754
16.235847	-0.849460
16.266366	-4.269656
16.296884	-5.432075
16.327403	-4.292010
16.357921	-3.934343
16.388440	-3.353133
16.418958	0.000000
16.449477	4.940282
16.479995	8.427541
16.510514	9.500544
16.541032	7.466309
16.571551	2.771923
16.602069	-2.324839
16.632588	-3.040174
16.663106	-2.056588
16.693625	-1.911286
16.724143	0.022354
16.754662	4.582615
16.785180	6.359776
16.815699	4.929105
16.846217	3.163122
16.876736	1.005940
16.907254	-1.877754
16.937773	-3.911988
16.968291	-2.235422
16.998810	2.526027
17.029328	7.332184
17.059847	11.557131
17.090365	14.060803
17.120884	13.010156
17.151402	7.645143
17.181921	1.799515
17.212439	-1.408316
17.242958	-5.454430
17.273476	-9.243469
17.303995	-10.193524
17.334513	-8.315769
17.365032	-3.867280
17.395550	2.067765
17.426069	5.923868
17.456587	6.616849
17.487106	3.531967
17.517624	-0.536501
17.548143	-4.604969
17.578661	-8.382833
17.609180	-9.835856
17.639698	-8.092227
17.670217	-6.080348
17.700735	-4.470844
17.731254	-2.078942
17.761773	0.469439
17.792291	0.625918
17.822810	-0.134125
17.853328	0.681804
17.883847	3.263716
17.914365	4.426136
17.944884	5.633263
17.975402	7.086287
18.005921	6.650380
18.036439	2.548381
18.066958	-2.995465
18.097476	-7.108642
18.127995	-7.466309
18.158513	-4.448490
18.189032	0.290605
18.219550	5.677972
18.250069	8.762854
18.280587	8.405187
18.311106	5.543846
18.341624	-0.290605
18.372143	-6.795682
18.402661	-11.937153
18.433180	-13.636074
18.463698	-10.327649
18.494217	-3.129591
18.524735	3.710800
18.555254	9.791148
18.585772	16.631538
18.616291	19.492880
18.646809	14.306700
18.677328	4.135530
18.707846	-5.096762
18.738365	-12.428946
18.768883	-16.989206
18.799402	-16.095037
18.829920	-9.679377
18.860439	-1.598327
18.890957	6.393307
18.921476	13.949033
18.951994	18.296928
18.982513	16.095037
19.013031	9.031104
19.043550	1.207128
19.074068	-5.007345
19.104587	-10.282941
19.135105	-12.160695
19.165624	-11.601840
19.196142	-7.063933
19.226661	1.251836
19.257179	9.120522
19.287698	11.825382
19.318216	10.551191
19.348735	6.829214
19.379254	1.296545
19.409772	-4.426136
19.440291	-6.303890
19.470809	-4.917928
19.501328	-2.794277
19.531846	1.140065
19.562365	6.303890
19.592883	9.008750
19.623402	8.427541
19.653920	3.576675
19.684439	-2.067765
19.714957	-6.661557
19.745476	-9.589960
19.775994	-10.059399
19.806513	-6.885099
19.837031	-1.676566
19.867550	4.649678
19.898068	9.791148
19.928587	11.467714
19.959105	9.120522
19.989624	4.593792
20.020142	0.368845
20.050661	-2.637798
20.081179	-4.202593
20.111698	-4.269656
20.142216	-3.040174
20.172735	0.111771
20.203253	2.257776
20.233772	2.112474
20.264290	1.609504
20.294809	1.117711
20.325327	-0.748866
20.355846	-3.520790
20.386364	-3.621383
20.416883	-1.128888
20.447401	-0.167657
20.477920	-0.894169
20.508438	0.625918
20.538957	1.184774
20.569475	-1.911286
20.599994	-5.409721
20.630512	-5.622086
20.661031	-4.739094
20.691549	-4.604969
20.722068	-2.660152
20.752586	1.654212
20.783105	4.325541
20.813623	4.247302
20.844142	3.576675
20.874660	4.694386
20.905179	4.783803
20.935698	3.040174
20.966216	1.073003
20.996735	-0.178834
21.027253	-1.385962
21.057772	0.368845
21.088290	3.442550
21.118809	6.728620
21.149327	8.997573
21.179846	8.964042
21.210364	6.706266
21.240883	2.861340
21.271401	-1.844223
21.301920	-4.694386
21.332438	-5.230887
21.362957	-4.046113
21.393475	-2.760746
21.423994	-1.564795
21.454512	-1.296545
21.485031	-0.916523
21.515549	0.726512
21.546068	0.894169
21.576586	-2.112474
21.607105	-4.716740
21.637623	-7.633966
21.668142	-9.422303
21.698660	-7.935748
21.729179	-5.588555
21.759697	-2.660152
21.790216	-0.290605
21.820734	1.497733
21.851253	3.487258
21.881771	4.470844
21.912290	4.292010
21.942808	3.096059
21.973327	1.084180
22.003845	-0.603564
22.034364	-1.251836
22.064882	-1.598327
22.095401	-1.520087
22.125919	0.469439
22.156438	2.883694
22.186956	4.515552
22.217475	4.828511
22.247993	3.710800
22.278512	1.251836
22.309030	-0.849460
22.339549	-3.487258
22.370067	-4.616146
22.400586	-3.800217
22.431104	-2.213068
22.461623	0.625918
22.492141	4.537907
22.522660	6.628026
22.553179	7.276299
22.583697	6.717443
22.614216	4.426136
22.644734	-0.346490
22.675253	-4.783803
22.705771	-7.443955
22.736290	-8.360478
22.766808	-6.974516
22.797327	-2.280130
22.827845	1.922463
22.858364	4.917928
22.888882	6.683911
22.919401	6.795682
22.949919	4.426136
22.980438	0.625918
23.010956	-2.414256
23.041475	-2.503673
23.071993	-0.782398
23.102512	0.938877
23.133030	2.682506
23.163549	3.643738
23.194067	2.291307
23.224586	-0.469439
23.255104	-4.649678
23.285623	-7.846331
23.316141	-10.014690
23.346660	-11.221818
23.377178	-9.209938
23.407697	-4.157885
23.438215	1.967171
23.468734	7.153350
23.499252	8.807562
23.529771	6.706266
23.560289	1.799515
23.590808	-3.554321
23.621326	-5.353836
23.651845	-3.733155
23.682363	-0.536501
23.712882	2.503673
23.743400	5.454430
23.773919	8.293415
23.804437	8.673437
23.834956	5.722680
23.865474	1.542441
23.895993	-1.475379
23.926511	-1.609504
23.957030	0.055886
23.987548	2.559558
24.018067	4.850865
24.048585	6.438015
24.079104	6.259181
24.109622	4.828511
24.140141	1.833046
24.170660	-0.312959
24.201178	-1.542441
24.231697	-2.570735
24.262215	-2.861340
24.292734	-1.609504
24.323252	-1.833046
24.353771	-2.950757
24.384289	-2.280130
24.414808	-0.871815
24.445326	0.000000
24.475845	1.453024
24.506363	2.458964
24.536882	3.755509
24.567400	3.319602
24.597919	0.357668
24.628437	-1.207128
24.658956	0.234719
24.689474	0.938877
24.719993	1.877754
24.750511	1.743629
24.781030	0.380022
24.811548	-2.011880
24.842067	-6.527432
24.872585	-11.132401
24.903104	-13.949033
24.933622	-13.759022
24.964141	-10.081753
24.994659	-4.426136
25.025178	1.207128
25.055696	5.029699
25.086215	6.795682
25.116733	6.125056
25.147252	3.520790
25.177770	-0.357668
25.208289	-3.934343
25.238807	-5.901514
25.269326	-6.706266
25.299844	-4.470844
25.330363	1.117711
25.360881	8.047519
25.391400	12.965447
25.421918	15.022036
25.452437	14.664368
25.482955	12.250113
25.513474	7.868685
25.543992	4.403781
25.574511	1.978348
25.605029	-0.849460
25.635548	-3.375487
25.666066	-2.760746
25.696585	0.692981
25.727103	2.682506
25.757622	2.078942
25.788141	1.173597
25.818659	0.916523
25.849178	1.967171
25.879696	0.536501
25.910215	-1.564795
25.940733	-4.068468
25.971252	-6.616849
26.001770	-6.795682
26.032289	-3.979051
26.062807	-0.894169
26.093326	0.849460
26.123844	0.894169
26.154363	1.575972
26.184881	3.755509
26.215400	5.275596
26.245918	4.113176
26.276437	2.794277
26.306955	1.296545
26.337474	-1.877754
26.367992	-3.554321
26.398511	-1.520087
26.429029	0.000000
26.459548	0.625918
26.490066	1.408316
26.520585	3.397841
26.551103	4.962636
26.581622	4.604969
26.612140	3.219007
26.642659	0.000000
26.673177	-3.889634
26.703696	-5.856805
26.734214	-6.706266
26.764733	-7.511018
26.795251	-6.169765
26.825770	-3.040174
26.856288	0.815929
26.886807	4.560261
26.917325	6.818037
26.947844	6.560963
26.978362	3.341956
27.008881	-1.833046
27.039399	-5.867982
27.069918	-8.438718
27.100436	-9.455834
27.130955	-7.086287
27.161473	-0.335313
27.191992	7.645143
27.222510	14.306700
27.253029	16.810373
27.283547	16.318581
27.314066	12.026570
27.344584	4.023759
27.375103	-3.543144
27.405622	-7.689851
27.436140	-9.478189
27.466659	-9.075813
27.497177	-5.722680
27.527696	0.760043
27.558214	6.929808
27.588733	9.221115
27.619251	7.153350
27.649770	4.135530
27.680288	-0.134125
27.710807	-4.806157
27.741325	-7.466309
27.771844	-6.795682
27.802362	-6.225650
27.832881	-5.633263
27.863399	-3.118413
27.893918	0.447084
27.924436	2.682506
27.954955	3.777863
27.985473	4.023759
28.015992	4.470844
28.046510	5.599732
28.077029	6.795682
28.107547	7.063933
28.138066	5.186179
28.168584	0.827106
28.199103	-2.324839
28.229621	-4.336719
28.260140	-5.007345
28.290658	-3.934343
28.321177	-1.967171
28.351695	-0.491793
28.382214	0.380022
28.412732	0.916523
28.443251	0.558855
28.473769	-0.804752
28.504288	-3.219007
28.534806	-4.772626
28.565325	-5.800920
28.595843	-5.856805
28.626362	-3.911988
28.656880	-0.849460
28.687399	1.609504
28.717917	3.554321
28.748436	4.560261
28.778954	4.202593
28.809473	2.101297
28.839991	-0.603564
28.870510	-3.397841
28.901028	-4.906751
28.931547	-4.001405
28.962065	-0.972409
