Агрегат: 03010002
Точка: П3®
Направление измерений: Произвольное
Замер: ЕФС-У
Дата и время: 29.05.2018 15:17:12
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 32768
Единицы: м/с?
Представление величин: ПИК
Усреднения: Линейные
Количество усреднений: 1
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 12800.000000
Период (мс): 1000.000000

мсек	Канал А, м/с?
0.000000	7.801622
0.030519	-5.901514
0.061037	-10.774734
0.091556	-5.387367
0.122074	-4.381427
0.152593	-0.357668
0.183111	4.202593
0.213630	5.007345
0.244148	7.242767
0.274667	7.611612
0.305185	5.074408
0.335704	0.804752
0.366222	-1.073003
0.396741	3.934343
0.427259	11.400652
0.457778	13.881970
0.488296	9.355241
0.518815	1.788337
0.549333	-3.599029
0.579852	-6.348598
0.610370	-7.958102
0.640889	-6.750974
0.671407	-1.944817
0.701926	0.760043
0.732444	-4.772626
0.762963	-12.652488
0.793481	-16.139746
0.824000	-14.809670
0.854518	-8.159290
0.885037	-0.044708
0.915555	5.990931
0.946074	9.411126
0.976592	11.803028
1.007111	12.831322
1.037629	10.282941
1.068148	5.901514
1.098666	0.815929
1.129185	-3.476081
1.159703	-6.750974
1.190222	-6.963339
1.220740	-1.073003
1.251259	8.092227
1.281777	18.151627
1.312296	21.974197
1.342814	11.624194
1.373333	-2.771923
1.403851	-14.485534
1.434370	-26.020311
1.464888	-29.149902
1.495407	-20.297630
1.525925	-2.950757
1.556444	14.060803
1.586962	21.840073
1.617481	21.370634
1.648000	12.004215
1.678518	-4.906751
1.709037	-19.302868
1.739555	-21.996552
1.770074	-13.144280
1.800592	0.994763
1.831111	13.725491
1.861629	18.911669
1.892148	16.609184
1.922666	11.892445
1.953185	5.029699
1.983703	-4.828511
2.014222	-12.317175
2.044740	-12.764259
2.075259	-5.901514
2.105777	4.604969
2.136296	8.729322
2.166814	1.453024
2.197333	-7.779268
2.227851	-9.634668
2.258370	-3.844926
2.288888	6.147410
2.319407	11.266526
2.349925	7.365715
2.380444	-1.475379
2.410962	-12.652488
2.441481	-18.509293
2.471999	-14.574951
2.502518	-2.805454
2.533036	11.311234
2.563555	20.275276
2.594073	23.270742
2.624592	19.314045
2.655110	4.582615
2.685629	-13.390177
2.716147	-22.980137
2.746666	-20.431757
2.777184	-8.986396
2.807703	2.771923
2.838221	11.288880
2.868740	14.172575
2.899258	9.075813
2.929777	1.140065
2.960295	-5.398544
2.990814	-10.081753
3.021332	-12.697196
3.051851	-10.372357
3.082369	-2.928403
3.112888	4.057291
3.143406	6.080348
3.173925	3.397841
3.204443	0.491793
3.234962	-1.207128
3.265481	-2.235422
3.295999	0.368845
3.326518	6.080348
3.357036	8.528134
3.387555	5.409721
3.418073	-2.235422
3.448592	-10.260587
3.479110	-12.406591
3.509629	-8.718145
3.540147	-2.302485
3.570666	3.721977
3.601184	6.929808
3.631703	7.253944
3.662221	7.063933
3.692740	5.141470
3.723258	-1.073003
3.753777	-6.549786
3.784295	-5.443253
3.814814	1.888932
3.845332	8.226353
3.875851	9.969982
3.906369	8.494603
3.936888	1.710098
3.967406	-6.080348
3.997925	-8.338123
4.028443	-6.471547
4.058962	-4.783803
4.089480	-1.609504
4.119999	5.633263
4.150517	10.461775
4.181036	6.471547
4.211554	-2.458964
4.242073	-8.651083
4.272591	-9.433480
4.303110	-7.868685
4.333628	-3.844926
4.364147	2.906049
4.394665	7.823977
4.425184	10.383534
4.455702	8.628729
4.486221	0.648272
4.516739	-5.901514
4.547258	-5.890337
4.577776	-2.011880
4.608295	1.251836
4.638813	3.185476
4.669332	3.129591
4.699850	0.692981
4.730369	-3.811394
4.760887	-9.746440
4.791406	-12.093633
4.821924	-10.461775
4.852443	-4.739094
4.882962	5.722680
4.913480	14.865556
4.943999	18.062208
4.974517	11.557131
5.005036	-1.497733
5.035554	-9.589960
5.066073	-9.209938
5.096591	-3.308424
5.127110	2.961934
5.157628	4.504375
5.188147	3.621383
5.218665	0.659449
5.249184	-2.682506
5.279702	0.469439
5.310221	3.710800
5.340739	2.280130
5.371258	3.800217
5.401776	6.795682
5.432295	3.241362
5.462813	-3.878457
5.493332	-9.612314
5.523850	-13.859616
5.554369	-12.294821
5.584887	-8.170467
5.615406	-5.633263
5.645924	0.648272
5.676443	7.086287
5.706961	9.254646
5.737480	10.841796
5.767998	7.779268
5.798517	0.089417
5.829035	-3.252539
5.859554	-1.184774
5.890072	-0.827106
5.920591	-5.230887
5.951109	-7.958102
5.981628	-6.259181
6.012146	-2.481318
6.042665	2.056588
6.073183	3.934343
6.103702	7.332184
6.134220	12.630134
6.164739	13.054864
6.195257	7.108642
6.225776	-3.308424
6.256294	-11.981861
6.286813	-14.843202
6.317331	-13.278406
6.347850	-8.293415
6.378368	-2.481318
6.408887	2.906049
6.439405	8.315769
6.469924	10.014690
6.500443	7.868685
6.530961	2.861340
6.561480	-3.487258
6.591998	-5.700326
6.622517	-4.850865
6.653035	-3.554321
6.683554	-1.251836
6.714072	2.950757
6.744591	7.376892
6.775109	9.500544
6.805628	12.071279
6.836146	12.987802
6.866665	6.013285
6.897183	-13.412532
6.927702	-42.238297
6.958220	-53.225395
6.988739	-19.571119
7.019257	30.759405
7.049776	39.477551
7.080294	11.266526
7.110813	8.405187
7.141331	18.688128
7.171850	-17.346874
7.202368	-44.462543
7.232887	-9.299356
7.263405	13.814907
7.293924	-12.317175
7.324442	-30.111134
7.354961	3.096059
