Агрегат: 04030002
Точка: П3®
Направление измерений: Произвольное
Замер: ЕФС-У
Дата и время: 30.05.2018 13:44:45
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 32768
Единицы: м/с?
Представление величин: ПИК
Усреднения: Линейные
Количество усреднений: 1
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 12800.000000
Период (мс): 1000.000000

мсек	Канал А, м/с?
0.000000	-1.980640
0.030519	-2.732068
0.061037	-2.875403
0.091556	-2.969875
0.122074	-2.470371
0.152593	-0.256267
0.183111	2.050137
0.213630	2.738583
0.244148	1.538688
0.274667	-0.642839
0.305185	-2.126148
0.335704	-3.051316
0.366222	-3.587739
0.396741	-2.881919
0.427259	-1.155374
0.457778	0.764458
0.488296	1.811244
0.518815	1.594068
0.549333	1.120625
0.579852	0.901278
0.610370	0.731881
0.640889	0.681931
0.671407	0.878475
0.701926	1.537602
0.732444	2.206503
0.762963	2.060995
0.793481	1.334543
0.824000	0.714507
0.854518	0.109674
0.885037	-0.399603
0.915555	-0.147679
0.946074	0.527736
0.976592	1.164061
1.007111	1.751520
1.037629	1.650534
1.068148	0.831782
1.098666	-0.121618
1.129185	-1.383408
1.159703	-2.065339
1.190222	-1.685282
1.220740	-1.342144
1.251259	-0.972946
1.281777	-0.474528
1.312296	-0.464756
1.342814	-0.584202
1.373333	-0.667815
1.403851	-0.925168
1.434370	-1.241158
1.464888	-1.830789
1.495407	-2.584388
1.525925	-2.865631
1.556444	-2.266226
1.586962	-1.279164
1.617481	-0.553797
1.648000	0.043435
1.678518	0.697133
1.709037	1.159717
1.739555	1.286765
1.770074	1.064160
1.800592	0.590717
1.831111	-0.188943
1.861629	-0.970774
1.892148	-1.197723
1.922666	-0.523393
1.953185	0.985977
1.983703	2.510549
2.014222	3.467206
2.044740	3.362962
2.075259	2.097915
2.105777	0.373542
2.136296	-1.207496
2.166814	-1.945892
2.197333	-1.893770
2.227851	-1.240072
2.258370	0.021718
2.288888	1.443131
2.319407	2.649541
2.349925	2.471457
2.380444	1.199895
2.410962	0.373542
2.441481	0.069496
2.471999	0.191114
2.502518	0.122704
2.533036	-0.238893
2.563555	-0.121618
2.594073	-0.182427
2.624592	-0.772059
2.655110	-1.230299
2.685629	-1.685282
2.716147	-2.184785
2.746666	-2.719037
2.777184	-2.983991
2.807703	-2.102259
2.838221	-0.497332
2.868740	0.929511
2.899258	1.693969
2.929777	1.472450
2.960295	0.651526
2.990814	-0.325763
3.021332	-0.876303
3.051851	-0.395259
3.082369	0.660213
3.112888	1.615786
3.143406	2.831968
3.173925	4.031863
3.204443	4.309847
3.234962	3.431373
3.265481	1.628816
3.295999	-0.078183
3.326518	-1.059816
3.357036	-1.563663
3.387555	-1.654877
3.418073	-1.135828
3.448592	-0.246494
3.479110	0.694962
3.509629	1.436616
3.540147	1.749349
3.570666	1.600583
3.601184	1.164061
3.631703	0.547282
3.662221	-0.154195
3.692740	-0.547282
3.723258	-0.651526
3.753777	-0.851328
3.784295	-0.909965
3.814814	-0.306217
3.845332	0.775316
3.875851	1.303053
3.906369	0.694962
