Агрегат: Свободные данные
Дата и время: 06.06.2018 14:05:12
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 128K
Единицы: м/с?
Представление величин: ПИК
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 10240.000000
Период (мс): 5000.000000

мсек	Канал А, м/с?
10.948265	-0.069903
10.986412	-0.084766
11.024559	-0.103430
11.062706	-0.117818
11.100854	-0.128812
11.139001	-0.141707
11.177148	-0.165121
11.215296	-0.223962
11.253443	-0.293730
11.291590	-0.314972
11.329737	-0.308796
11.367885	-0.329021
11.406032	-0.333364
11.444179	-0.314972
11.482326	-0.292372
11.520474	-0.275949
11.558621	-0.268212
11.596768	-0.243779
11.634915	-0.206724
11.673063	-0.182292
11.711210	-0.166682
11.749357	-0.146593
11.787504	-0.118632
11.825652	-0.091621
11.863799	-0.069903
11.901946	-0.051715
11.940094	-0.037056
11.978241	-0.017578
12.016388	-0.001289
12.054535	0.012555
12.092683	0.025247
12.130830	0.036038
12.168977	0.053072
12.207124	0.064406
12.245272	0.071600
12.283419	0.075808
12.321566	0.082866
12.359713	0.088974
12.397861	0.090874
12.436008	0.093861
12.474155	0.089856
12.512302	0.087481
12.550450	0.092028
12.588597	0.095964
12.626744	0.098408
12.664892	0.098340
12.703039	0.105534
12.741186	0.114628
12.779333	0.112456
12.817481	0.113814
12.855628	0.116528
12.893775	0.122161
12.931922	0.133156
12.970070	0.136549
13.008217	0.137363
13.046364	0.135938
13.084511	0.134717
13.122659	0.132409
13.160806	0.121075
13.198953	0.109334
13.237101	0.103430
13.275248	0.093318
13.313395	0.081712
13.351542	0.065424
13.389690	0.059384
13.427837	0.057280
13.465984	0.039363
13.504131	0.026129
13.542279	0.020224
13.580426	0.010112
13.618573	0.007194
13.656720	0.013845
13.694868	0.014116
13.733015	0.003393
13.771162	0.001086
13.809309	0.005429
13.847457	-0.000882
13.885604	-0.010927
13.923751	-0.011945
13.961899	0.003529
14.000046	0.015134
14.038193	0.011741
14.076340	0.018188
14.114488	0.025654
14.152635	0.028165
14.190782	0.033119
14.228929	0.034612
14.267077	0.035495
14.305224	0.048864
14.343371	0.060809
14.381518	0.053344
14.419666	0.042146
14.457813	0.043435
14.495960	0.043435
14.534107	0.035902
14.572255	0.020971
14.610402	0.008008
14.648549	0.016288
14.686697	0.007873
14.724844	-0.008348
14.762991	0.003597
14.801138	0.006040
14.839286	-0.000882
14.877433	-0.011945
14.915580	-0.031762
14.953727	-0.051036
14.991875	-0.069903
15.030022	-0.081373
15.068169	-0.094946
15.106316	-0.116189
15.144464	-0.119582
15.182611	-0.103158
15.220758	-0.085513
15.258905	-0.067799
15.297053	-0.049272
15.335200	-0.048322
15.373347	-0.041806
15.411495	-0.035291
15.449642	-0.037259
15.487789	-0.024364
15.525936	-0.024432
15.564084	-0.029522
15.602231	-0.032644
15.640378	-0.038277
15.678525	-0.044521
15.716673	-0.067392
15.754820	-0.082527
15.792967	-0.085988
15.831114	-0.076147
15.869262	-0.067867
15.907409	-0.064949
15.945556	-0.021650
15.983703	0.021175
16.021851	0.043571
16.059998	0.075604
16.098145	0.117275
16.136293	0.183853
16.174440	0.225863
16.212587	0.215886
16.250734	0.190571
16.288882	0.159081
16.327029	0.131934
16.365176	0.110692
16.403323	0.080287
16.441471	0.043503
16.479618	0.027215
16.517765	0.010452
16.555912	-0.038956
16.594060	-0.114424
16.632207	-0.187450
16.670354	-0.232717
16.708501	-0.278256
16.746649	-0.334179
16.784796	-0.372456
16.822943	-0.390916
16.861091	-0.409715
16.899238	-0.420913
16.937385	-0.382840
16.975532	-0.338658
17.013680	-0.314090
17.051827	-0.271537
17.089974	-0.221112
17.128121	-0.159624
17.166269	-0.120193
17.204416	-0.093928
17.242563	-0.036988
17.280710	0.013031
17.318858	0.041806
17.357005	0.067257
17.395152	0.089721
17.433300	0.116460
17.471447	0.136753
17.509594	0.148629
17.547741	0.146118
17.585889	0.142250
17.624036	0.156095
17.662183	0.150801
17.700330	0.120397
