Агрегат: Свободные данные
Дата и время: 06.06.2018 14:04:57
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 128K
Единицы: м/с?
Представление величин: ПИК
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 10240.000000
Период (мс): 5000.000000

мсек	Канал А, м/с?
10.528645	-0.003461
10.566792	-0.005837
10.604939	-0.003529
10.643087	-0.002443
10.681234	-0.004140
10.719381	-0.006990
10.757528	-0.002443
10.795676	-0.004886
10.833823	-0.006651
10.871970	-0.004072
10.910117	-0.005362
10.948265	-0.004411
10.986412	-0.003733
11.024559	-0.002443
11.062706	-0.003597
11.100854	-0.007465
11.139001	-0.003665
11.177148	-0.003801
11.215296	-0.005837
11.253443	-0.002443
11.291590	-0.004886
11.329737	-0.005701
11.367885	-0.004819
11.406032	-0.004547
11.444179	-0.002240
11.482326	-0.004683
11.520474	-0.004344
11.558621	-0.002511
11.596768	-0.005837
11.634915	-0.006583
11.673063	-0.006583
11.711210	-0.004547
11.749357	-0.002307
11.787504	-0.006583
11.825652	-0.007058
11.863799	-0.004208
11.901946	-0.005429
11.940094	-0.004276
11.978241	-0.004751
12.016388	-0.007330
12.054535	-0.004072
12.092683	-0.004072
12.130830	-0.006787
12.168977	-0.004751
12.207124	-0.003054
12.245272	-0.005972
12.283419	-0.005294
12.321566	-0.002715
12.359713	-0.003054
12.397861	-0.004208
12.436008	-0.002850
12.474155	-0.006719
12.512302	-0.007194
12.550450	-0.003801
12.588597	-0.007330
12.626744	-0.006583
12.664892	-0.003733
12.703039	-0.005362
12.741186	-0.006583
12.779333	-0.007330
12.817481	-0.007873
12.855628	-0.003665
12.893775	-0.002715
12.931922	-0.003393
12.970070	-0.007330
13.008217	-0.005701
13.046364	-0.000543
13.084511	-0.003801
13.122659	-0.004140
13.160806	-0.004751
13.198953	-0.006583
13.237101	-0.004479
13.275248	-0.003393
13.313395	-0.004751
13.351542	-0.002240
13.389690	-0.006583
13.427837	-0.005972
13.465984	-0.004819
13.504131	-0.008076
13.542279	-0.005429
13.580426	-0.005158
13.618573	-0.004208
13.656720	-0.002240
13.694868	-0.003258
13.733015	-0.006922
13.771162	-0.007533
13.809309	-0.005972
13.847457	-0.003665
13.885604	-0.005633
13.923751	-0.005904
13.961899	-0.006583
14.000046	-0.006583
14.038193	-0.004954
14.076340	-0.005022
14.114488	-0.004819
14.152635	-0.002647
14.190782	-0.003733
14.228929	-0.006583
14.267077	-0.004751
14.305224	-0.005429
14.343371	-0.005362
14.381518	-0.006583
14.419666	-0.004751
14.457813	-0.005904
14.495960	-0.006787
14.534107	-0.005294
14.572255	-0.004140
14.610402	-0.003122
14.648549	-0.004208
14.686697	-0.005701
14.724844	-0.004344
14.762991	-0.002579
14.801138	-0.006583
14.839286	-0.008008
14.877433	-0.006787
14.915580	-0.002375
14.953727	-0.004751
14.991875	-0.005904
15.030022	-0.002240
15.068169	-0.005633
15.106316	-0.007398
15.144464	-0.004886
15.182611	-0.003122
15.220758	-0.002715
15.258905	-0.005972
15.297053	-0.005022
15.335200	-0.003190
15.373347	-0.006583
15.411495	-0.004615
15.449642	-0.005090
15.487789	-0.005022
15.525936	-0.003258
15.564084	-0.005429
15.602231	-0.005701
15.640378	-0.004479
15.678525	-0.004886
15.716673	-0.005362
15.754820	-0.005633
15.792967	-0.004886
15.831114	-0.005022
15.869262	-0.006787
15.907409	-0.005226
15.945556	-0.007194
15.983703	-0.007330
16.021851	-0.004886
16.059998	-0.005158
16.098145	-0.002443
16.136293	-0.005972
16.174440	-0.007601
16.212587	-0.002715
16.250734	-0.004886
16.288882	-0.004344
16.327029	-0.003597
16.365176	-0.008076
16.403323	-0.006583
16.441471	-0.004276
16.479618	-0.005294
16.517765	-0.005158
16.555912	-0.005633
16.594060	-0.002240
16.632207	-0.000204
16.670354	-0.005226
16.708501	-0.003529
16.746649	-0.000204
16.784796	-0.003258
16.822943	-0.004819
16.861091	-0.004276
16.899238	-0.004751
16.937385	-0.002240
16.975532	-0.003258
17.013680	-0.005904
17.051827	-0.006583
17.089974	-0.005022
17.128121	-0.004547
17.166269	-0.005429
17.204416	-0.004140
17.242563	-0.002715
17.280710	-0.004683
17.318858	-0.008280
17.357005	-0.003801
17.395152	-0.002240
17.433300	-0.004547
17.471447	-0.003122
17.509594	-0.003801
17.547741	-0.005633
17.585889	-0.002443
17.624036	-0.004886
17.662183	-0.005294
17.700330	-0.004344
17.738478	-0.006583
17.776625	-0.005429
17.814772	-0.007601
17.852919	-0.005429
17.891067	-0.006583
17.929214	-0.008348
17.967361	-0.005429
18.005508	-0.006990
18.043656	-0.006583
18.081803	-0.002579
18.119950	-0.004954
18.158098	-0.002715
18.196245	-0.002715
18.234392	-0.006583
18.272539	-0.002986
18.310687	-0.005158
18.348834	-0.005633
18.386981	-0.005022
18.425128	-0.004276
18.463276	-0.004140
18.501423	-0.004344
18.539570	-0.004479
18.577717	-0.005362
18.615865	-0.004751
18.654012	-0.002579
18.692159	-0.002579
18.730306	-0.002307
18.768454	-0.003801
18.806601	-0.005429
18.844748	-0.006855
18.882896	-0.008958
18.921043	-0.004276
18.959190	-0.002986
18.997337	-0.002579
19.035485	-0.006990
19.073632	-0.006583
19.111779	-0.003801
19.149926	-0.005429
19.188074	-0.001561
19.226221	-0.004004
19.264368	-0.007601
19.302515	-0.004615
19.340663	-0.006651
19.378810	-0.006583
19.416957	-0.003054
19.455104	-0.005633
19.493252	-0.003801
19.531399	-0.005294
19.569546	-0.003665
19.607694	-0.001086
19.645841	-0.003258
19.683988	-0.005701
19.722135	-0.005701
19.760283	-0.003801
19.798430	-0.005429
19.836577	-0.006583
19.874724	-0.004819
19.912872	-0.003529
19.951019	-0.005633
19.989166	-0.005837
20.027313	-0.004819
20.065461	-0.005022
20.103608	-0.004886
20.141755	-0.005090
20.179902	-0.004751
20.218050	-0.004615
20.256197	-0.006583
20.294344	-0.006787
20.332492	-0.006583
20.370639	-0.004072
20.408786	-0.005294
20.446933	-0.008416
20.485081	-0.005904
20.523228	-0.004344
20.561375	-0.002240
20.599522	-0.003733
20.637670	-0.005633
20.675817	-0.001018
20.713964	-0.003801
20.752111	-0.006787
20.790259	-0.006990
20.828406	-0.006583
20.866553	-0.002443
20.904701	-0.002986
20.942848	-0.003122
20.980995	-0.005701
21.019142	-0.008551
21.057290	-0.006583
21.095437	-0.007058
21.133584	-0.006583
21.171731	-0.004886
21.209879	-0.007805
21.248026	-0.005294
21.286173	-0.003054
21.324320	-0.005837
21.362468	-0.006719
21.400615	-0.005226
21.438762	-0.003258
21.476909	-0.003733
21.515057	-0.003054
21.553204	-0.003529
21.591351	-0.004208
21.629499	-0.004004
21.667646	-0.004615
21.705793	-0.002240
21.743940	-0.001289
21.782088	-0.005158
21.820235	-0.005429
21.858382	-0.007058
21.896529	-0.006922
21.934677	-0.002240
21.972824	-0.005022
22.010971	-0.004276
22.049118	-0.002240
22.087266	-0.005362
22.125413	-0.006583
22.163560	-0.003190
22.201707	-0.005429
22.239855	-0.006583
22.278002	-0.005904
22.316149	-0.004276
22.354297	-0.002579
22.392444	-0.005429
22.430591	-0.006583
22.468738	-0.007058
22.506886	-0.006583
22.545033	-0.005701
22.583180	-0.006583
22.621327	-0.007058
22.659475	-0.004208
22.697622	-0.005022
22.735769	-0.006922
22.773916	-0.004751
22.812064	-0.004344
22.850211	-0.005904
22.888358	-0.005429
22.926505	-0.004072
22.964653	-0.006583
23.002800	-0.004615
23.040947	-0.002307
23.079095	-0.005090
23.117242	-0.004954
23.155389	-0.002511
23.193536	-0.006583
23.231684	-0.003801
23.269831	-0.003258
23.307978	-0.007465
23.346125	-0.003529
23.384273	-0.002240
23.422420	-0.004615
23.460567	-0.007533
23.498714	-0.005090
23.536862	-0.005158
23.575009	-0.006583
23.613156	-0.005837
23.651303	-0.006583
23.689451	-0.006583
23.727598	-0.004479
23.765745	-0.004886
23.803893	-0.006583
23.842040	-0.005701
23.880187	-0.006583
23.918334	-0.005429
23.956482	-0.005294
23.994629	-0.004072
24.032776	-0.004276
24.070923	-0.004547
24.109071	-0.006651
24.147218	-0.004208
24.185365	-0.003868
24.223512	-0.004140
24.261660	-0.004072
24.299807	-0.005158
24.337954	-0.003529
24.376102	-0.004208
24.414249	-0.005362
24.452396	-0.006719
24.490543	-0.003122
24.528691	-0.002240
24.566838	-0.006583
24.604985	-0.004208
24.643132	-0.001629
24.681280	-0.005701
24.719427	-0.006583
24.757574	-0.006583
24.795721	-0.004276
24.833869	-0.003801
24.872016	-0.007533
24.910163	-0.004751
24.948310	-0.003393
24.986458	-0.006787
25.024605	-0.005904
25.062752	-0.003122
25.100900	-0.005429
25.139047	-0.004615
25.177194	-0.003529
25.215341	-0.005633
25.253489	-0.007601
25.291636	-0.007058
25.329783	-0.003054
25.367930	-0.004140
25.406078	-0.004954
25.444225	-0.003529
25.482372	-0.004479
25.520519	-0.004886
25.558667	-0.003733
25.596814	-0.003258
25.634961	-0.002511
25.673108	-0.003801
25.711256	-0.005429
25.749403	-0.006583
25.787550	-0.007262
25.825698	-0.007601
25.863845	-0.006990
25.901992	-0.005429
25.940139	-0.005429
25.978287	-0.005633
26.016434	-0.005429
26.054581	-0.006583
26.092728	-0.004683
26.130876	-0.006583
26.169023	-0.005837
26.207170	-0.001629
26.245317	-0.002986
26.283465	-0.002443
26.321612	0.000543
26.359759	-0.003936
26.397906	-0.004819
26.436054	-0.003258
26.474201	-0.004819
26.512348	-0.003801
26.550496	-0.004751
26.588643	-0.006583
26.626790	-0.004751
26.664937	-0.003936
26.703085	-0.005022
26.741232	-0.003801
26.779379	-0.004072
26.817526	-0.003665
26.855674	-0.006583
26.893821	-0.006583
26.931968	-0.004208
26.970115	-0.004615
27.008263	-0.002715
27.046410	-0.003597
27.084557	-0.005294
27.122704	-0.004344
27.160852	-0.005429
27.198999	-0.006651
27.237146	-0.004751
27.275294	-0.007194
27.313441	-0.006583
27.351588	-0.005701
27.389735	-0.006583
27.427883	-0.005429
27.466030	-0.005633
27.504177	-0.006583
27.542324	-0.004547
27.580472	-0.002986
27.618619	-0.005226
27.656766	-0.004886
27.694913	-0.005429
27.733061	-0.005022
27.771208	-0.005904
27.809355	-0.006583
27.847502	-0.007058
27.885650	-0.004072
27.923797	-0.002918
27.961944	-0.004751
28.000092	-0.004344
28.038239	-0.004886
28.076386	-0.002240
28.114533	-0.003936
28.152681	-0.007058
28.190828	-0.003190
28.228975	-0.002240
28.267122	-0.004819
28.305270	-0.003258
28.343417	-0.004547
28.381564	-0.002579
28.419711	-0.000679
28.457859	-0.004004
28.496006	-0.004344
28.534153	-0.002715
28.572301	-0.004072
28.610448	-0.006583
28.648595	-0.004208
28.686742	-0.006583
28.724890	-0.005972
28.763037	-0.005769
28.801184	-0.004479
28.839331	-0.004886
28.877479	-0.006651
28.915626	-0.005429
28.953773	-0.003733
28.991920	-0.002579
29.030068	-0.003258
29.068215	-0.005769
29.106362	-0.004819
29.144509	-0.002240
29.182657	-0.005362
29.220804	-0.004886
29.258951	-0.006583
29.297099	-0.006922
29.335246	-0.006787
29.373393	-0.006990
29.411540	-0.003665
29.449688	-0.003936
29.487835	-0.004140
29.525982	-0.005633
29.564129	-0.007262
29.602277	-0.004208
29.640424	-0.006651
29.678571	-0.007601
29.716718	-0.001289
29.754866	-0.003122
29.793013	-0.002715
29.831160	-0.002715
29.869307	-0.005904
29.907455	-0.003258
29.945602	-0.004004
29.983749	-0.006583
30.021897	-0.005633
30.060044	-0.005769
30.098191	-0.005701
30.136338	-0.005158
30.174486	-0.004344
30.212633	-0.004886
30.250780	-0.005837
30.288927	-0.001086
30.327075	-0.002375
30.365222	-0.006922
30.403369	-0.005429
30.441516	-0.003665
30.479664	-0.000747
30.517811	-0.004276
30.555958	-0.006583
30.594105	-0.002443
30.632253	-0.005701
30.670400	-0.005429
30.708547	-0.003936
30.746695	-0.006651
30.784842	-0.004072
30.822989	-0.004004
30.861136	-0.006583
30.899284	-0.005429
30.937431	-0.005565
30.975578	-0.004208
31.013725	-0.005158
31.051873	-0.004276
31.090020	-0.004751
31.128167	-0.006990
31.166314	-0.004140
31.204462	-0.004886
31.242609	-0.007058
31.280756	-0.003733
31.318903	-0.003122
31.357051	-0.006651
31.395198	-0.003936
31.433345	-0.004004
31.471493	-0.006855
31.509640	-0.006583
31.547787	-0.005904
31.585934	-0.007465
31.624082	-0.006583
31.662229	-0.005701
31.700376	-0.006583
31.738523	-0.004344
31.776671	-0.005701
31.814818	-0.004886
31.852965	-0.003122
31.891112	-0.005294
31.929260	-0.004615
31.967407	-0.002647
32.005554	-0.006583
32.043702	-0.003665
32.081849	-0.003529
32.119996	-0.005972
32.158143	-0.004344
32.196291	-0.005429
32.234438	-0.006583
32.272585	-0.005837
32.310732	-0.001493
32.348880	-0.004344
32.387027	-0.008144
32.425174	-0.006583
32.463321	-0.005022
32.501469	-0.005972
32.539616	-0.005294
32.577763	-0.007873
32.615910	-0.005904
32.654058	-0.004208
32.692205	-0.006583
32.730352	-0.006651
32.768500	-0.006583
32.806647	-0.005429
32.844794	-0.008348
32.882941	-0.005904
32.921089	-0.005022
32.959236	-0.005429
32.997383	-0.004276
33.035530	-0.002850
33.073678	-0.006651
33.111825	-0.008280
33.149972	-0.006583
33.188119	-0.008280
33.226267	-0.005904
33.264414	-0.004208
33.302561	-0.006040
33.340708	-0.006583
33.378856	-0.005429
33.417003	-0.005158
33.455150	-0.001629
33.493298	-0.005837
33.531445	-0.004276
33.569592	-0.003665
33.607739	-0.006922
33.645887	-0.003258
33.684034	-0.003393
33.722181	-0.003190
33.760328	-0.002918
33.798476	-0.004819
33.836623	-0.005904
33.874770	-0.005429
33.912917	-0.005701
33.951065	-0.004344
33.989212	-0.003801
34.027359	-0.003258
34.065506	-0.005158
34.103654	-0.004615
34.141801	-0.004479
34.179948	-0.007533
34.218096	-0.005429
34.256243	-0.004411
34.294390	-0.004547
34.332537	-0.004819
34.370685	-0.004615
34.408832	-0.002511
34.446979	-0.003597
34.485126	-0.004819
34.523274	-0.002443
34.561421	-0.004886
34.599568	-0.007533
34.637715	-0.006583
34.675863	-0.003665
34.714010	-0.005022
34.752157	-0.008619
34.790304	-0.006583
34.828452	-0.005022
34.866599	-0.004344
34.904746	-0.005701
34.942894	-0.006583
34.981041	-0.005701
35.019188	-0.006583
35.057335	-0.004004
35.095483	-0.005022
35.133630	-0.008687
35.171777	-0.006583
35.209924	-0.005158
35.248072	-0.004751
35.286219	-0.004344
35.324366	-0.006583
35.362513	-0.004886
35.400661	-0.006583
35.438808	-0.006583
35.476955	-0.005158
35.515103	-0.007805
35.553250	-0.004276
35.591397	-0.002307
35.629544	-0.004479
35.667692	-0.004819
35.705839	-0.005429
35.743986	-0.005158
35.782133	-0.001765
35.820281	-0.002375
35.858428	-0.005429
35.896575	-0.005294
35.934722	-0.006787
35.972870	-0.007601
36.011017	-0.005429
36.049164	-0.005429
36.087311	-0.007940
36.125459	-0.007330
36.163606	-0.006583
36.201753	-0.006583
36.239901	-0.006583
36.278048	-0.005429
36.316195	-0.004886
36.354342	-0.006040
36.392490	-0.003258
36.430637	-0.003122
36.468784	-0.005294
36.506931	-0.007873
36.545079	-0.005294
36.583226	-0.005362
36.621373	-0.006787
36.659520	-0.006651
36.697668	-0.007465
36.735815	-0.004276
36.773962	-0.004615
36.812109	-0.006583
36.850257	-0.003733
36.888404	-0.002240
36.926551	-0.004004
36.964699	-0.005769
37.002846	-0.004615
37.040993	-0.002850
37.079140	-0.006583
37.117288	-0.002715
37.155435	-0.004344
37.193582	-0.008008
37.231729	-0.006583
37.269877	-0.004344
37.308024	-0.004751
37.346171	-0.007737
37.384318	-0.005158
37.422466	-0.004886
37.460613	-0.006719
37.498760	-0.005090
37.536907	-0.002443
37.575055	-0.002986
37.613202	-0.004547
37.651349	-0.007465
37.689497	-0.004208
37.727644	-0.003054
37.765791	-0.000271
37.803938	0.000136
37.842086	-0.008280
37.880233	-0.005904
37.918380	-0.003258
37.956527	-0.008144
37.994675	-0.005701
38.032822	-0.001629
38.070969	-0.007330
38.109116	-0.006583
38.147264	-0.006583
38.185411	-0.007330
38.223558	-0.003665
38.261705	-0.005972
38.299853	-0.007465
38.338000	-0.003936
38.376147	-0.003665
38.414295	-0.004072
38.452442	-0.002307
38.490589	-0.004344
38.528736	-0.006583
38.566884	-0.008823
38.605031	-0.007262
38.643178	-0.006583
38.681325	-0.004004
38.719473	-0.005294
38.757620	-0.008619
38.795767	-0.006583
38.833914	-0.002986
38.872062	-0.001832
38.910209	-0.002240
38.948356	-0.004479
38.986503	-0.005429
39.024651	-0.002918
39.062798	-0.004615
39.100945	-0.005090
39.139093	-0.005158
39.177240	-0.006583
39.215387	-0.008551
39.253534	-0.004819
39.291682	-0.002715
39.329829	-0.006583
39.367976	-0.005429
39.406123	-0.005633
39.444271	-0.003801
39.482418	-0.003529
39.520565	-0.006583
39.558712	-0.004276
39.596860	-0.002986
39.635007	-0.004344
39.673154	-0.002240
39.711302	-0.003258
39.749449	-0.007465
39.787596	-0.005429
39.825743	-0.003665
39.863891	-0.003801
39.902038	-0.003733
39.940185	-0.004547
39.978332	-0.004547
40.016480	-0.004819
40.054627	-0.005362
40.092774	-0.004751
40.130921	-0.005158
40.169069	-0.004344
40.207216	-0.005158
40.245363	-0.005090
40.283510	-0.004004
40.321658	-0.005158
40.359805	-0.004276
40.397952	-0.004004
40.436100	-0.006583
40.474247	-0.004819
40.512394	-0.005429
40.550541	-0.006855
40.588689	-0.003190
40.626836	-0.003529
40.664983	-0.005429
40.703130	-0.004819
40.741278	-0.004072
40.779425	-0.005294
40.817572	-0.006651
40.855719	-0.008008
40.893867	-0.008416
40.932014	-0.004344
40.970161	-0.000950
41.008308	-0.000882
41.046456	-0.002307
41.084603	-0.004276
41.122750	-0.002986
41.160898	-0.005837
41.199045	-0.006583
41.237192	-0.005158
41.275339	-0.006583
41.313487	-0.005429
41.351634	-0.005022
41.389781	-0.004886
41.427928	-0.005226
41.466076	-0.004208
41.504223	-0.005022
41.542370	-0.006787
41.580517	-0.002307
41.618665	-0.003190
41.656812	-0.008348
41.694959	-0.004819
41.733106	-0.006787
41.771254	-0.006651
41.809401	-0.002986
41.847548	-0.004819
41.885696	-0.003733
41.923843	-0.004819
41.961990	-0.005837
42.000137	-0.004276
42.038285	-0.002986
42.076432	-0.002647
42.114579	-0.003801
42.152726	-0.006855
42.190874	-0.003801
42.229021	-0.005022
42.267168	-0.006583
42.305315	-0.004886
42.343463	-0.004886
42.381610	-0.001086
42.419757	-0.005022
42.457904	-0.009094
42.496052	-0.008280
42.534199	-0.004344
42.572346	-0.002240
42.610494	-0.003190
42.648641	-0.003597
42.686788	-0.003733
42.724935	-0.006583
42.763083	-0.003122
42.801230	-0.003529
42.839377	-0.005362
42.877524	-0.002240
42.915672	-0.003258
42.953819	-0.006583
42.991966	-0.005429
43.030113	-0.004886
43.068261	-0.005972
43.106408	-0.003190
43.144555	-0.005633
43.182703	-0.007873
43.220850	-0.007873
43.258997	-0.005429
43.297144	-0.005158
43.335292	-0.005158
43.373439	-0.002579
43.411586	-0.004208
43.449733	-0.003258
43.487881	-0.003529
43.526028	-0.007601
43.564175	-0.005294
43.602322	-0.004344
43.640470	-0.008348
43.678617	-0.002443
43.716764	-0.004344
43.754911	-0.006583
43.793059	-0.003665
43.831206	-0.006583
43.869353	-0.006583
43.907501	-0.003733
43.945648	-0.005429
43.983795	-0.007737
44.021942	-0.005429
44.060090	-0.005429
44.098237	-0.004344
44.136384	-0.003529
44.174531	-0.004886
44.212679	-0.005429
44.250826	-0.002986
44.288973	-0.005090
44.327120	-0.006787
44.365268	-0.004819
44.403415	-0.004208
44.441562	-0.004819
44.479709	-0.007533
44.517857	-0.006583
44.556004	-0.004411
44.594151	-0.005158
44.632299	-0.006583
44.670446	-0.004954
44.708593	-0.005904
44.746740	-0.004344
44.784888	-0.003936
44.823035	-0.007330
44.861182	-0.004886
44.899329	-0.001765
44.937477	-0.001357
44.975624	-0.003733
45.013771	-0.006990
45.051918	-0.006651
45.090066	-0.004344
45.128213	-0.002443
45.166360	-0.002240
45.204507	-0.004886
45.242655	-0.002986
45.280802	-0.004344
45.318949	-0.006583
45.357097	-0.001425
45.395244	-0.002240
45.433391	-0.005904
45.471538	-0.007398
45.509686	-0.006922
45.547833	-0.005769
45.585980	-0.005972
45.624127	-0.006583
45.662275	-0.004819
45.700422	-0.005362
45.738569	-0.006583
45.776716	-0.005429
45.814864	-0.005362
45.853011	-0.003461
45.891158	-0.007262
45.929305	-0.007873
45.967453	-0.005022
46.005600	-0.007330
46.043747	-0.005972
46.081895	-0.004683
46.120042	-0.007533
46.158189	-0.007194
46.196336	-0.004751
46.234484	-0.003190
46.272631	-0.002715
46.310778	-0.005226
46.348925	-0.004208
46.387073	-0.004886
46.425220	-0.004751
46.463367	-0.003258
46.501514	-0.003801
46.539662	-0.003393
46.577809	-0.003461
46.615956	-0.005701
46.654104	-0.004683
46.692251	-0.002715
46.730398	-0.005429
46.768545	-0.003801
46.806693	-0.004886
46.844840	-0.006583
46.882987	-0.005972
46.921134	-0.003665
46.959282	-0.002240
46.997429	-0.004751
47.035576	-0.005769
47.073723	-0.005226
47.111871	-0.005904
47.150018	-0.007398
47.188165	-0.005904
47.226312	-0.004886
47.264460	-0.002240
47.302607	-0.005429
47.340754	-0.007058
47.378902	-0.005090
